sample,t_seconds,i_ideal,q_ideal,i_dac,q_dac,rf_ideal,rf_dac,rx_i,rx_q,rx_rf
8391,0.0031469396939693968,-0.42860206494043607,-0.7162859491762393,-0.4296875,-0.71484375,0.5575866750191845,0.5583764985893731,-0.7379386075022588,-1.1722259226531753,0.9483532364502115
8392,0.0031473147314731473,-0.41762758273582984,-0.713960865473897,-0.41796875,-0.71484375,0.5315865185633207,0.5320710963049058,-0.7465906794484817,-1.1645465595465472,0.9315413108167447
8393,0.0031476897689768973,-0.4066535544971921,-0.7116303192092406,-0.40625,-0.7109375,0.5053120266640018,0.5048125020713885,-0.7060184828671505,-1.1608048659544208,0.8665003350832865
8394,0.003148064806480648,-0.39568016633540193,-0.7092943439081858,-0.39453125,-0.7109375,0.47879080394780443,0.4778496726178336,-0.6803843709790428,-1.1838327840397502,0.8189508940026564
8395,0.0031484398439843983,-0.3847076042282078,-0.7069529731919142,-0.3828125,-0.70703125,0.452050572872045,0.45017222774800375,-0.6932542010255996,-1.1740914594819376,0.8048349948666734
8396,0.0031488148814881487,-0.3737360540171267,-0.7046062407762417,-0.375,-0.703125,0.4251191499748671,0.4262693974180852,-0.6734874477816488,-1.1677337402695598,0.758493993256568
8397,0.003149189918991899,-0.36276570140435904,-0.7022541804709865,-0.36328125,-0.703125,0.3980244220913338,0.3985836076284397,-0.6279317124927415,-1.1356095511965365,0.6848948099133205
8398,0.0031495649564956493,-0.35179673194970007,-0.6998968261793338,-0.3515625,-0.69921875,0.3707943225544478,0.37054164548001417,-0.6156699065472706,-1.1333102420393184,0.6464146254913592
8399,0.0031499399939994,-0.34082933106744573,-0.6975342118971969,-0.33984375,-0.69921875,0.34345680740002854,0.3424775845167345,-0.6325163532418314,-1.1378208052528886,0.6368017598211593
8400,0.0031503150315031502,-0.32986368402336735,-0.6951663717125898,-0.328125,-0.6953125,0.31603983159439863,0.31429859589431747,-0.5680571028569597,-1.1447551147349744,0.5452880051397927
8401,0.0031506900690069007,-0.31889997593155606,-0.6927933398049703,-0.3203125,-0.69140625,0.28857132530365465,0.29004264488123765,-0.5767057572805095,-1.131739299362115,0.5271088201365598
8402,0.003151065106510651,-0.30793839175141,-0.6904151504446091,-0.30859375,-0.69140625,0.2610791702238671,0.2616667839876433,-0.5683819744281308,-1.129983720313674,0.4915446291063183
8403,0.0031514401440144012,-0.29697911628455737,-0.6880318379919437,-0.296875,-0.6875,0.23359117599046175,0.23353554439546498,-0.5276025034309074,-1.0955541143333245,0.42644591553559213
8404,0.0031518151815181517,-0.2860223341717899,-0.6856434368969324,-0.28515625,-0.6875,0.20613505668562984,0.20506331474933603,-0.522254801013923,-1.1153395043703482,0.39193158623461083
8405,0.003152190219021902,-0.27506822989001434,-0.6832499816984083,-0.2734375,-0.68359375,0.1787384074628801,0.17707593595069396,-0.4926642925337218,-1.1325910001445076,0.33263599297552826
8406,0.0031525652565256523,-0.2641169877491947,-0.6808515070234277,-0.265625,-0.6796875,0.1514286813064674,0.15310395081263176,-0.47485413524219056,-1.121882589234116,0.28865646280714774
8407,0.0031529402940294027,-0.2531687918893091,-0.6784480475866226,-0.25390625,-0.6796875,0.12423316594446374,0.1247303937104428,-0.4254619293503106,-1.1430887698158503,0.20824225541360672
8408,0.003153315331533153,-0.24222382627730904,-0.6760396381895462,-0.2421875,-0.67578125,0.09717896093407165,0.09719685597135765,-0.42877887803265946,-1.0916409545630565,0.19375258330768702
8409,0.0031536903690369033,-0.23128227470407403,-0.6736263137200185,-0.23046875,-0.671875,0.07029295493652685,0.069903654809978,-0.42016597347128803,-1.1182444350117757,0.1519482197812944
8410,0.0031540654065406537,-0.22034432078139032,-0.6712081091514737,-0.21875,-0.671875,0.043601803199908064,0.041890711237158054,-0.40286152421760935,-1.098985729208794,0.11211102957104602
8411,0.0031544404440444042,-0.20941014793891238,-0.668785059542298,-0.2109375,-0.66796875,0.017131905267913784,0.0188250042358683,-0.38462221567665245,-1.1159301050907522,0.06242685147724581
8412,0.0031548154815481543,-0.19847993942114794,-0.6663572000351747,-0.19921875,-0.66796875,-0.009090617068539635,-0.008865560827911498,-0.36515694814794997,-1.0874536832770045,0.024540880622896142
8413,0.003155190519051905,-0.1875538782844195,-0.6639245658564178,-0.1875,-0.6640625,-0.03503994155925769,-0.03513517113573516,-0.36275895586013374,-1.0824769627831687,-0.003165591468814668
8414,0.0031555655565556557,-0.17663214739390962,-0.6614871923153226,-0.17578125,-0.66015625,-0.06069056700456672,-0.06103397108128892,-0.3275037870903632,-1.0834879512749107,-0.06353197048948159
8415,0.0031559405940594057,-0.16571492942056804,-0.6590451148034842,-0.1640625,-0.66015625,-0.08601733447130282,-0.08796116145961609,-0.32617999294755917,-1.089988734348553,-0.09374549200288844
8416,0.003156315631563156,-0.15480240683816765,-0.6565983687941429,-0.15625,-0.65625,-0.11099544819734544,-0.1095257012419993,-0.3092024747611365,-1.0401895820110407,-0.11684743039047066
8417,0.0031566906690669067,-0.14389476192028705,-0.6541469898415152,-0.14453125,-0.65234375,-0.13560049616848405,-0.1342834991951816,-0.2847573270608177,-1.0603178725166806,-0.17276667966731518
8418,0.003157065706570657,-0.1329921767373185,-0.6516910135801234,-0.1328125,-0.65234375,-0.1598084703520273,-0.16025108710440145,-0.24957411246801683,-1.0637154809060898,-0.2314969322490166
8419,0.003157440744074407,-0.12209483315348571,-0.6492304757241274,-0.12109375,-0.6484375,-0.18359578657089395,-0.1841320737450732,-0.2339296962453176,-1.0645273063016705,-0.27092367605115286
8420,0.0031578157815781577,-0.11120291282385186,-0.6467654120666511,-0.109375,-0.6484375,-0.20693930400275287,-0.20933972232436307,-0.2708106115540943,-1.059096482256501,-0.26063989243840663
8421,0.003158190819081908,-0.10031659719135042,-0.6442958584791103,-0.1015625,-0.64453125,-0.2298163442890428,-0.22884769162004098,-0.19348009444208222,-1.0442990637277745,-0.3456122098332904
